city,zip_code,latitude,longitude,tenure_months,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,payment_method,monthly_charges,total_charges,churn_score,cltv,churn_reason,population,gender_bin,senior_citizen_bin,partner_bin,dependents_bin,phone_service_bin,paperless_billing_bin,churn_label_bin
carson,90745,33.822295,-118.26411,1,no,dsl,no,no,no,no,no,no,month-to-month,electronic check,45.65,45.65,73,2600,poor expertise of online support,55486,1,0,0,0,1,1,1
long beach,90804,33.783047,-118.1486,7,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,mailed check,95.0,655.5,94,2786,poor expertise of phone support,43467,1,0,0,1,1,0,1
altadena,91001,34.196837,-118.142236,20,yes,fiber optic,yes,no,no,no,no,no,month-to-month,electronic check,82.4,1592.35,86,5719,price too high,36243,0,0,1,1,1,0,1
monrovia,91016,34.1528,-118.000482,4,no,fiber optic,no,no,no,no,no,no,month-to-month,bank transfer (automatic),70.9,273,75,4287,product dissatisfaction,41067,0,0,0,1,1,1,1
sierra madre,91024,34.168686,-118.057505,58,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,electronic check,45.3,2651.2,100,5444,service dissatisfaction,10558,1,1,1,0,0,1,1
tujunga,91042,34.296574,-118.244839,2,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,electronic check,104.4,242.8,83,4690,lack of self-service on website,26753,0,0,1,1,1,1,1
pasadena,91103,34.167465,-118.165327,53,no,fiber optic,no,no,yes,no,yes,yes,one year,bank transfer (automatic),94.85,5000.2,80,4328,network reliability,27891,0,0,1,0,1,1,1
pasadena,91106,34.139402,-118.128658,15,yes,fiber optic,no,no,no,no,no,no,month-to-month,mailed check,74.45,1145.7,99,5717,limited range of services,23742,0,1,0,1,1,1,1
pasadena,91107,34.159007,-118.087353,7,no,fiber optic,yes,no,no,no,no,no,month-to-month,bank transfer (automatic),76.45,503.6,81,4419,lack of affordable download/upload speed,32369,0,1,0,1,1,0,1
glendale,91202,34.167926,-118.267539,1,no phone service,dsl,no,yes,no,no,no,no,month-to-month,bank transfer (automatic),29.95,29.95,95,4534,long distance charges,21990,0,0,0,0,0,0,1
glendale,91204,34.136306,-118.26036,8,yes,fiber optic,no,no,no,no,no,yes,month-to-month,bank transfer (automatic),84.5,662.65,86,2152,extra data charges,17015,1,0,0,1,1,0,1
glendale,91206,34.162515,-118.203869,13,no,fiber optic,no,yes,yes,no,no,no,month-to-month,electronic check,79.25,1111.65,73,5142,price too high,31297,0,0,0,1,1,1,1
glendale,91207,34.182378,-118.262922,1,no phone service,dsl,no,no,no,no,no,no,month-to-month,electronic check,24.8,24.8,94,4851,product dissatisfaction,9864,0,0,1,0,0,1,1
canoga park,91304,34.224377,-118.632656,6,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,electronic check,91.0,531,94,2283,service dissatisfaction,49242,1,0,1,1,1,1,1
mission hills,91345,34.266389,-118.459744,1,no,fiber optic,no,no,no,no,no,yes,month-to-month,electronic check,79.9,79.9,98,3394,lack of self-service on website,17112,1,0,0,1,1,0,1
santa clarita,91350,34.502432,-118.41459,19,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,electronic check,106.6,1934.45,71,3764,network reliability,40077,0,0,0,1,1,1,1
sun valley,91352,34.231053,-118.338307,2,no,dsl,no,no,no,no,no,no,month-to-month,credit card (automatic),46.0,84.5,76,2667,don't know,46639,1,0,0,0,1,1,1
stevenson ranch,91381,34.364153,-118.615583,4,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.15,268.35,67,2227,don't know,9937,0,0,0,1,1,1,1
panorama city,91402,34.223768,-118.445461,4,no,dsl,no,no,no,yes,no,no,month-to-month,mailed check,50.05,179.35,82,3394,don't know,66249,1,0,1,0,1,0,1
van nuys,91411,34.17847,-118.459472,1,no,dsl,no,no,no,no,yes,no,month-to-month,mailed check,55.2,55.2,81,3638,poor expertise of online support,23646,0,0,1,0,1,0,1
burbank,91504,34.213049,-118.317651,1,no,fiber optic,yes,no,no,no,no,yes,month-to-month,mailed check,84.6,84.6,66,2484,poor expertise of phone support,25882,1,0,0,1,1,1,1
north hollywood,91601,34.1692,-118.372498,2,yes,dsl,no,yes,no,no,no,no,month-to-month,mailed check,54.4,114.1,81,2556,price too high,36625,1,0,0,0,1,1,1
north hollywood,91605,34.207295,-118.400022,11,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,electronic check,95.0,1120.3,85,5980,product dissatisfaction,57146,0,1,0,1,1,1,1
covina,91722,34.097345,-117.906736,15,no,fiber optic,no,yes,no,no,no,no,month-to-month,electronic check,74.4,1074.3,86,4616,service dissatisfaction,33817,1,1,0,0,1,1,1
covina,91723,34.084747,-117.886844,1,no,dsl,yes,no,no,no,no,no,month-to-month,mailed check,48.55,48.55,77,5687,lack of self-service on website,17554,1,0,0,0,1,1,1
el monte,91731,34.079934,-118.046695,2,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.4,147.15,75,5687,network reliability,30211,0,0,1,0,1,0,1
el monte,91732,34.074492,-118.01462,1,no phone service,dsl,no,yes,no,no,yes,no,month-to-month,electronic check,40.2,40.2,65,5828,limited range of services,62660,1,1,1,0,0,0,1
la puente,91744,34.031441,-117.936436,2,no,dsl,no,no,no,no,no,no,month-to-month,credit card (automatic),44.6,80.55,99,4884,lack of affordable download/upload speed,84965,0,0,1,0,1,1,1
la puente,91746,34.038983,-117.991372,3,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,electronic check,41.15,132.2,96,2314,long distance charges,30802,1,1,0,0,0,1,1
rowland heights,91748,33.976753,-117.897367,13,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,106.9,1364.3,84,2494,extra data charges,46342,1,1,0,0,1,1,1
ontario,91762,34.057256,-117.667677,59,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,mailed check,19.35,1099.6,83,5084,price too high,54254,1,0,0,0,1,0,1
ontario,91764,34.074087,-117.605618,16,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,electronic check,94.45,1511.2,81,3810,product dissatisfaction,49474,0,1,0,0,1,1,1
pomona,91766,34.042286,-117.756106,1,no phone service,dsl,no,no,no,no,no,no,month-to-month,bank transfer (automatic),24.8,24.8,73,5087,service dissatisfaction,69974,1,0,0,0,0,0,1
pomona,91768,34.067932,-117.785168,1,no,fiber optic,no,no,no,no,no,no,month-to-month,mailed check,70.6,70.6,69,3338,lack of self-service on website,36057,1,0,0,0,1,0,1
rosemead,91770,34.065108,-118.082791,5,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,electronic check,85.4,401.1,80,3676,network reliability,61623,1,0,1,0,1,1,1
san dimas,91773,34.102119,-117.815532,52,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,105.05,5624.85,65,4839,don't know,33878,0,0,1,0,1,1,1
west covina,91791,34.061634,-117.893169,18,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,mailed check,95.15,1779.95,68,4643,don't know,30458,1,0,1,0,1,0,1
alhambra,91803,34.074736,-118.145959,1,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.0,70,97,4094,don't know,30635,1,0,1,0,1,0,1
alpine,91901,32.827184,-116.703729,8,no,fiber optic,no,yes,no,no,no,no,month-to-month,electronic check,74.5,606.55,80,4345,poor expertise of online support,16486,1,1,0,0,1,1,1
bonita,91902,32.67117,-117.00232,10,no,dsl,no,no,no,no,no,no,month-to-month,credit card (automatic),44.85,435.4,83,4061,poor expertise of phone support,17389,1,0,0,0,1,1,1
boulevard,91905,32.677097,-116.304991,24,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,76.1,1712.7,98,2018,price too high,1509,1,1,0,0,1,1,1
guatay,91931,32.857946,-116.561917,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,mailed check,73.6,73.6,80,2565,product dissatisfaction,796,0,0,0,0,1,1,1
jacumba,91934,32.649787,-116.2237,4,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,electronic check,95.45,396.1,85,3677,service dissatisfaction,699,0,1,0,0,1,1,1
mount laguna,91948,32.830852,-116.444601,32,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,74.9,2303.35,69,4105,lack of self-service on website,81,1,1,1,0,1,1,1
borrego springs,92004,33.200369,-116.192313,5,no,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,80.6,415.55,69,5715,network reliability,2863,1,0,0,0,1,1,1
carlsbad,92009,33.098018,-117.258203,38,no,dsl,yes,yes,no,yes,yes,yes,one year,credit card (automatic),80.3,3058.65,81,2071,limited range of services,43161,0,0,1,0,1,0,1
del mar,92014,32.948262,-117.256086,24,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,electronic check,93.15,2231.05,73,2212,lack of affordable download/upload speed,13945,1,1,1,0,1,1,1
el cajon,92020,32.79697,-116.969082,54,yes,dsl,yes,yes,no,yes,yes,yes,one year,bank transfer (automatic),82.45,4350.1,83,4149,long distance charges,55277,0,1,0,0,1,0,1
escondido,92029,33.079834,-117.134275,2,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.35,139.05,73,2671,extra data charges,17944,0,1,0,0,1,1,1
oceanside,92057,33.254497,-117.285879,7,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,73.85,511.25,67,2473,price too high,46893,0,0,0,0,1,1,1
pala,92059,33.384345,-117.072619,2,yes,fiber optic,no,no,yes,no,no,no,month-to-month,mailed check,80.6,155.8,92,2683,product dissatisfaction,1831,0,0,0,0,1,0,1
palomar mountain,92060,33.309852,-116.823091,68,yes,dsl,no,yes,yes,yes,no,yes,one year,bank transfer (automatic),75.8,5293.95,81,4903,service dissatisfaction,234,1,0,1,0,1,1,1
pauma valley,92061,33.313828,-116.940501,43,yes,fiber optic,no,yes,yes,no,yes,yes,two year,electronic check,104.6,4759.85,91,5250,lack of self-service on website,2615,0,0,0,0,1,1,1
ranchita,92066,33.215251,-116.53633,63,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,103.4,6603,98,4352,network reliability,339,1,0,1,0,1,1,1
valley center,92082,33.25283,-116.986079,2,no,fiber optic,no,no,no,no,yes,yes,month-to-month,electronic check,90.4,168.2,76,4157,don't know,14575,0,0,0,0,1,1,1
san diego,92103,32.747484,-117.166877,4,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,bank transfer (automatic),84.8,371.9,73,4939,don't know,30202,1,0,1,0,1,1,1
san diego,92104,32.741499,-117.127409,21,no phone service,dsl,yes,no,no,no,yes,no,month-to-month,electronic check,41.9,840.1,97,4778,don't know,47689,0,1,0,0,0,1,1
san diego,92105,32.741859,-117.090353,10,no,fiber optic,no,no,no,no,no,yes,month-to-month,bank transfer (automatic),80.25,846,85,3598,poor expertise of online support,73006,0,0,0,0,1,1,1
san diego,92108,32.774046,-117.142454,27,no phone service,dsl,yes,no,no,no,no,no,month-to-month,credit card (automatic),30.75,805.1,91,2927,poor expertise of phone support,11650,1,1,1,0,0,0,1
san diego,92116,32.765299,-117.122565,5,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,bank transfer (automatic),96.5,492.55,98,5383,price too high,33083,1,0,0,0,1,0,1
san diego,92122,32.85723,-117.209774,2,yes,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,85.65,181.5,73,3878,product dissatisfaction,34902,1,0,0,0,1,1,1
san diego,92129,32.961064,-117.134917,25,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,bank transfer (automatic),104.95,2566.5,66,3642,service dissatisfaction,47224,0,0,1,0,1,1,1
san diego,92154,32.578103,-117.012975,1,no,dsl,no,yes,no,no,no,no,month-to-month,mailed check,50.65,50.65,76,2431,don't know,68776,1,0,0,0,1,0,1
indio,92201,33.713891,-116.237257,1,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,credit card (automatic),90.85,90.85,81,3424,network reliability,56307,1,0,0,0,1,1,1
indian wells,92210,33.537646,-116.291089,11,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,19.95,214.75,80,5888,limited range of services,3873,1,1,1,0,1,0,1
palm desert,92211,33.762759,-116.324817,55,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,electronic check,85.45,4874.7,100,5502,lack of affordable download/upload speed,19702,0,1,1,0,1,1,1
desert hot springs,92240,33.948558,-116.516976,34,no,fiber optic,no,yes,no,no,no,no,month-to-month,credit card (automatic),73.95,2524.45,94,5795,long distance charges,22796,0,0,0,0,1,1,1
holtville,92250,32.811001,-115.152865,69,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,credit card (automatic),99.45,7007.6,80,4020,extra data charges,8062,1,0,1,0,1,1,1
niland,92257,33.345825,-115.596574,1,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,19.9,19.9,92,3351,price too high,2753,0,0,0,0,1,1,1
north palm springs,92258,33.906496,-116.569499,1,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,19.6,19.6,95,3448,product dissatisfaction,732,1,0,0,0,1,1,1
ocotillo,92259,32.698964,-115.886656,3,yes,fiber optic,no,yes,no,no,no,no,month-to-month,electronic check,81.35,233.7,73,2818,service dissatisfaction,471,1,1,0,0,1,1,1
seeley,92273,32.790282,-115.689559,22,no,fiber optic,no,yes,no,no,no,yes,month-to-month,electronic check,83.3,1845.9,88,3804,lack of self-service on website,1632,0,0,1,0,1,0,1
thermal,92274,33.53604,-116.119222,1,no,fiber optic,no,no,yes,no,no,no,month-to-month,bank transfer (automatic),75.3,75.3,67,4902,network reliability,17018,0,1,0,0,1,1,1
adelanto,92301,34.667815,-117.536183,61,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,19.4,1182.55,82,4221,don't know,18980,0,0,1,0,1,1,1
apple valley,92307,34.55082,-117.122396,12,no,dsl,no,no,no,no,no,no,month-to-month,bank transfer (automatic),45.4,518.9,68,2887,don't know,31876,1,0,0,0,1,1,1
crestline,92325,34.248061,-117.29028,60,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,105.9,6396.45,84,4105,don't know,10484,0,0,0,0,1,1,1
daggett,92327,34.875144,-116.821698,1,no,fiber optic,no,no,no,no,no,no,month-to-month,mailed check,69.55,69.55,73,2792,competitor had better devices,678,0,0,0,0,1,0,1
ludlow,92338,34.702766,-116.093376,28,no,fiber optic,no,no,no,no,no,yes,month-to-month,electronic check,81.05,2227.1,98,5201,competitor had better devices,23,0,0,1,0,1,1,1
lucerne valley,92356,34.508417,-116.856103,4,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,electronic check,101.15,385.9,84,4417,competitor had better devices,5256,1,0,1,0,1,0,1
lytle creek,92358,34.238162,-117.534306,7,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,electronic check,99.8,673.25,98,2031,competitor had better devices,1090,1,0,0,0,1,1,1
phelan,92371,34.441123,-117.537886,13,no,dsl,no,no,no,no,no,yes,month-to-month,electronic check,55.95,734.35,91,4498,competitor had better devices,12463,0,0,1,0,1,0,1
redlands,92373,34.003243,-117.138286,1,no,dsl,no,no,no,no,no,yes,month-to-month,electronic check,55.0,55,71,4877,competitor had better devices,31230,1,0,0,0,1,1,1
rialto,92377,34.156758,-117.404686,1,no,fiber optic,no,yes,no,no,no,no,month-to-month,electronic check,74.7,74.7,80,5980,competitor had better devices,18518,0,0,1,0,1,1,1
running springs,92382,34.186211,-117.07683,24,yes,fiber optic,no,yes,no,no,no,no,month-to-month,electronic check,80.25,1861.5,77,4418,competitor had better devices,5395,1,0,0,0,1,1,1
tecopa,92389,35.824572,-116.274755,5,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,electronic check,96.1,453.4,66,4192,competitor had better devices,117,1,0,0,0,1,1,1
victorville,92392,34.486835,-117.362274,15,no,fiber optic,no,no,no,no,no,no,month-to-month,bank transfer (automatic),69.0,994.8,73,5671,competitor had better devices,63235,0,0,0,0,1,0,1
wrightwood,92397,34.358321,-117.618263,48,no phone service,dsl,yes,no,yes,no,no,yes,month-to-month,bank transfer (automatic),45.3,2145,65,4926,price too high,4253,0,0,1,0,0,1,1
san bernardino,92401,34.105935,-117.2914,8,no,fiber optic,no,yes,no,no,yes,no,month-to-month,electronic check,83.55,680.05,65,2879,product dissatisfaction,1779,0,0,1,0,1,1,1
san bernardino,92410,34.106922,-117.297553,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,74.35,74.35,93,2814,service dissatisfaction,44556,1,0,0,0,1,1,1
riverside,92503,33.890046,-117.455583,2,no,fiber optic,yes,no,no,no,no,no,month-to-month,electronic check,74.4,139.4,77,4263,lack of self-service on website,71678,0,0,1,0,1,1,1
riverside,92506,33.930931,-117.361788,22,no phone service,dsl,no,yes,yes,no,no,yes,one year,bank transfer (automatic),43.75,903.6,66,3099,network reliability,42425,1,0,0,0,0,1,1
riverside,92509,34.004379,-117.447864,5,no phone service,dsl,no,yes,no,no,no,no,month-to-month,electronic check,28.45,131.05,89,4099,limited range of services,63999,0,1,0,0,0,0,1
march air reserve base,92518,33.888323,-117.277533,12,yes,fiber optic,yes,yes,yes,no,no,yes,month-to-month,bank transfer (automatic),99.7,1238.45,76,2538,lack of affordable download/upload speed,1005,0,0,0,0,1,1,1
hemet,92544,33.644585,-116.871544,20,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,electronic check,94.1,1782.4,87,2666,long distance charges,39264,0,1,0,0,1,1,1
homeland,92548,33.761894,-117.120868,2,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,electronic check,94.2,167.5,72,3715,don't know,4283,1,0,1,0,1,1,1
idyllwild,92549,33.755039,-116.741796,6,yes,fiber optic,no,no,no,yes,no,no,month-to-month,electronic check,80.5,502.85,98,5032,price too high,3588,0,0,1,0,1,1,1
moreno valley,92557,33.970661,-117.255039,5,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,74.35,334.8,82,5273,product dissatisfaction,46214,0,1,1,0,1,1,1
murrieta,92563,33.581045,-117.14719,40,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,bank transfer (automatic),104.8,4131.95,88,3492,service dissatisfaction,18311,1,0,0,0,1,0,1
perris,92571,33.828289,-117.201666,27,no,fiber optic,yes,no,no,no,no,no,month-to-month,bank transfer (automatic),75.2,1929.35,99,4517,lack of self-service on website,26357,0,1,1,0,1,1,1
sun city,92586,33.707483,-117.200006,23,yes,fiber optic,no,no,no,no,no,no,month-to-month,bank transfer (automatic),75.6,1758.6,81,2115,network reliability,18161,0,0,0,0,1,0,1
sun city,92587,33.69887,-117.25071,34,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,electronic check,100.05,3480,72,2568,don't know,13151,1,0,1,0,1,1,1
irvine,92612,33.643095,-117.810896,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,electronic check,85.0,85,80,5679,don't know,41062,0,0,0,0,1,1,1
lake forest,92630,33.644849,-117.684254,10,yes,fiber optic,no,no,no,no,yes,no,month-to-month,bank transfer (automatic),86.05,834.1,85,2966,don't know,59176,1,0,0,0,1,1,1
huntington beach,92646,33.666301,-117.969501,13,no phone service,dsl,yes,no,no,yes,yes,no,month-to-month,credit card (automatic),45.55,597,74,4856,poor expertise of online support,56517,1,0,0,0,0,1,1
huntington beach,92648,33.679659,-118.016195,39,no,fiber optic,no,yes,no,no,yes,no,month-to-month,mailed check,86.3,3266,98,3364,poor expertise of phone support,42663,1,0,1,0,1,1,1
newport beach,92661,33.601309,-117.902304,32,yes,fiber optic,no,yes,no,no,no,no,month-to-month,bank transfer (automatic),80.35,2596.15,92,5974,competitor had better devices,4242,1,0,0,0,1,1,1
santa ana,92701,33.748478,-117.858918,35,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,electronic check,100.25,3527.6,72,2744,competitor offered higher download speeds,58157,0,0,0,0,1,1,1
santa ana,92707,33.714829,-117.872941,56,yes,fiber optic,no,yes,no,no,yes,yes,one year,credit card (automatic),100.3,5614.45,67,5170,competitor offered more data,62634,1,0,1,0,1,0,1
anaheim,92805,33.830209,-117.906099,12,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,19.0,233.55,72,3535,competitor made better offer,68802,0,0,1,0,1,0,1
anaheim,92806,33.83796,-117.870494,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,mailed check,75.3,75.3,87,3244,competitor had better devices,34398,0,0,0,0,1,0,1
anaheim,92807,33.848733,-117.788357,4,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,electronic check,89.2,346.2,74,5808,competitor had better devices,36301,0,1,0,0,1,1,1
brea,92823,33.924143,-117.79387,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,85.7,85.7,66,4880,competitor offered higher download speeds,1408,0,1,0,0,1,1,1
