customer_id,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,id,population,cluster_improved
2070-fnexe,1,united states,california,pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,female,yes,no,yes,7,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),76.45,503.6,yes,1,81,4419,lack of affordable download/upload speed,178,32369,0
6317-ypkdh,1,united states,california,glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,female,no,no,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),29.95,29.95,yes,1,95,4534,long distance charges,181,21990,1
9367-wxlch,1,united states,california,glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,male,no,no,yes,8,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),84.5,662.65,yes,1,86,2152,extra data charges,183,17015,0
1918-zbfqj,1,united states,california,glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,female,no,no,yes,13,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,79.25,1111.65,yes,1,73,5142,price too high,185,31297,0
1024-guald,1,united states,california,glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,female,no,yes,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.8,24.8,yes,1,94,4851,product dissatisfaction,186,9864,1
2472-ovkup,1,united states,california,canoga park,91304,"34.224377, -118.632656",34.224377,-118.632656,male,no,yes,yes,6,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,91.0,531.0,yes,1,94,2283,service dissatisfaction,192,49242,0
1285-okipp,1,united states,california,mission hills,91345,"34.266389, -118.459744",34.266389,-118.459744,male,no,no,yes,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,79.9,79.9,yes,1,98,3394,lack of self-service on website,208,17112,1
7825-ecjrf,1,united states,california,santa clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,female,no,no,yes,19,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic check,106.6,1934.45,yes,1,71,3764,network reliability,209,40077,0
7841-tzdmq,1,united states,california,sun valley,91352,"34.231053, -118.338307",34.231053,-118.338307,male,no,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),46.0,84.5,yes,1,76,2667,don't know,211,46639,0
9408-ssnvz,1,united states,california,stevenson ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,female,no,no,yes,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.15,268.35,yes,1,67,2227,don't know,221,9937,0
0742-moabm,1,united states,california,panorama city,91402,"34.223768, -118.445461",34.223768,-118.445461,male,no,yes,no,4,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,50.05,179.35,yes,1,82,3394,don't know,224,66249,0
2232-dmlxu,1,united states,california,van nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,female,no,yes,no,1,yes,no,dsl,no,no,no,no,yes,no,month-to-month,no,mailed check,55.2,55.2,yes,1,81,3638,poor expertise of online support,228,23646,1
8937-rdthp,1,united states,california,burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,male,no,no,yes,1,yes,no,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,mailed check,84.6,84.6,yes,1,66,2484,poor expertise of phone support,233,25882,1
1251-krreg,1,united states,california,north hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,male,no,no,no,2,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed check,54.4,114.1,yes,1,81,2556,price too high,236,36625,0
0094-oifmo,1,united states,california,north hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,female,yes,no,yes,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.0,1120.3,yes,1,85,5980,product dissatisfaction,239,57146,0
9947-otfqu,1,united states,california,covina,91722,"34.097345, -117.906736",34.097345,-117.906736,male,yes,no,no,15,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,74.4,1074.3,yes,1,86,4616,service dissatisfaction,248,33817,0
0322-yinqp,1,united states,california,covina,91723,"34.084747, -117.886844",34.084747,-117.886844,male,no,no,no,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,48.55,48.55,yes,1,77,5687,lack of self-service on website,249,17554,1
4629-nrxkx,1,united states,california,el monte,91731,"34.079934, -118.046695",34.079934,-118.046695,female,no,yes,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.4,147.15,yes,1,75,5687,network reliability,252,30211,0
9514-jdski,1,united states,california,el monte,91732,"34.074492, -118.01462",34.074492,-118.01462,male,yes,yes,no,1,no,no phone service,dsl,no,yes,no,no,yes,no,month-to-month,no,electronic check,40.2,40.2,yes,1,65,5828,limited range of services,253,62660,1
4959-josrx,1,united states,california,la puente,91744,"34.031441, -117.936436",34.031441,-117.936436,female,no,yes,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),44.6,80.55,yes,1,99,4884,lack of affordable download/upload speed,260,84965,0
7273-tefqd,1,united states,california,la puente,91746,"34.038983, -117.991372",34.038983,-117.991372,male,yes,no,no,3,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic check,41.15,132.2,yes,1,96,2314,long distance charges,262,30802,0
3606-twkgi,1,united states,california,rowland heights,91748,"33.976753, -117.897367",33.976753,-117.897367,male,yes,no,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.9,1364.3,yes,1,84,2494,extra data charges,263,46342,0
6323-aybrx,1,united states,california,ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,male,no,no,no,59,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.35,1099.6,yes,1,83,5084,price too high,270,54254,0
4385-gzqxv,1,united states,california,ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,female,yes,no,no,16,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.45,1511.2,yes,1,81,3810,product dissatisfaction,272,49474,0
6366-zgqgl,1,united states,california,pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,male,no,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),24.8,24.8,yes,1,73,5087,service dissatisfaction,274,69974,1
5940-ahuhd,1,united states,california,pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.6,70.6,yes,1,69,3338,lack of self-service on website,276,36057,1
6432-twqlb,1,united states,california,rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,male,no,yes,no,5,yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,electronic check,85.4,401.1,yes,1,80,3676,network reliability,277,61623,0
4484-glzou,1,united states,california,san dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,female,no,yes,no,52,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,105.05,5624.85,yes,1,65,4839,don't know,278,33878,0
9512-uibfx,1,united states,california,west covina,91791,"34.061634, -117.893169",34.061634,-117.893169,male,no,yes,no,18,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,mailed check,95.15,1779.95,yes,1,68,4643,don't know,286,30458,0
5583-sxdag,1,united states,california,alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,male,no,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,70.0,70.0,yes,1,97,4094,don't know,289,30635,1
3488-pgmqj,1,united states,california,alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,male,yes,no,no,8,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,74.5,606.55,yes,1,80,4345,poor expertise of online support,290,16486,0
3580-reoac,1,united states,california,bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,male,no,no,no,10,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),44.85,435.4,yes,1,83,4061,poor expertise of phone support,291,17389,0
7534-bfesc,1,united states,california,boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,male,yes,no,no,24,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.1,1712.7,yes,1,98,2018,price too high,292,1509,0
6390-dsazx,1,united states,california,guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,female,no,no,no,1,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,mailed check,73.6,73.6,yes,1,80,2565,product dissatisfaction,301,796,1
8098-llazx,1,united states,california,jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,female,yes,no,no,4,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,396.1,yes,1,85,3677,service dissatisfaction,303,699,0
0265-edxbd,1,united states,california,mount laguna,91948,"32.830852, -116.444601",32.830852,-116.444601,male,yes,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.9,2303.35,yes,1,69,4105,lack of self-service on website,308,81,0
7563-biupc,1,united states,california,borrego springs,92004,"33.200369, -116.192313",33.200369,-116.192313,male,no,no,no,5,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.6,415.55,yes,1,69,5715,network reliability,316,2863,0
2321-ombxy,1,united states,california,carlsbad,92009,"33.098018, -117.258203",33.098018,-117.258203,female,no,yes,no,38,yes,no,dsl,yes,yes,no,yes,yes,yes,one year,no,credit card (automatic),80.3,3058.65,yes,1,81,2071,limited range of services,319,43161,0
2840-xanrc,1,united states,california,del mar,92014,"32.948262, -117.256086",32.948262,-117.256086,male,yes,yes,no,24,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,93.15,2231.05,yes,1,73,2212,lack of affordable download/upload speed,320,13945,0
5020-zstty,1,united states,california,el cajon,92020,"32.79697, -116.969082",32.79697,-116.969082,female,yes,no,no,54,yes,yes,dsl,yes,yes,no,yes,yes,yes,one year,no,bank transfer (automatic),82.45,4350.1,yes,1,83,4149,long distance charges,322,55277,0
5804-lepim,1,united states,california,escondido,92029,"33.079834, -117.134275",33.079834,-117.134275,female,yes,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.35,139.05,yes,1,73,2671,extra data charges,329,17944,0
0122-oahpz,1,united states,california,oceanside,92057,"33.254497, -117.285879",33.254497,-117.285879,female,no,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,511.25,yes,1,67,2473,price too high,335,46893,0
2868-snelz,1,united states,california,pala,92059,"33.384345, -117.072619",33.384345,-117.072619,female,no,no,no,2,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,no,mailed check,80.6,155.8,yes,1,92,2683,product dissatisfaction,336,1831,0
4322-rcymt,1,united states,california,palomar mountain,92060,"33.309852, -116.823091",33.309852,-116.823091,male,no,yes,no,68,yes,yes,dsl,no,yes,yes,yes,no,yes,one year,yes,bank transfer (automatic),75.8,5293.95,yes,1,81,4903,service dissatisfaction,337,234,0
6680-nenyn,1,united states,california,pauma valley,92061,"33.313828, -116.940501",33.313828,-116.940501,female,no,no,no,43,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,electronic check,104.6,4759.85,yes,1,91,5250,lack of self-service on website,338,2615,0
1343-ehpyb,1,united states,california,ranchita,92066,"33.215251, -116.53633",33.215251,-116.53633,male,no,yes,no,63,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,103.4,6603.0,yes,1,98,4352,network reliability,341,339,0
2034-gdrcn,1,united states,california,valley center,92082,"33.25283, -116.986079",33.25283,-116.986079,female,no,no,no,2,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,90.4,168.2,yes,1,76,4157,don't know,348,14575,0
0219-ytzue,1,united states,california,san diego,92103,"32.747484, -117.166877",32.747484,-117.166877,male,no,yes,no,4,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),84.8,371.9,yes,1,73,4939,don't know,355,30202,0
0623-iihug,1,united states,california,san diego,92104,"32.741499, -117.127409",32.741499,-117.127409,female,yes,no,no,21,no,no phone service,dsl,yes,no,no,no,yes,no,month-to-month,yes,electronic check,41.9,840.1,yes,1,97,4778,don't know,356,47689,0
4572-dvcgn,1,united states,california,san diego,92105,"32.741859, -117.090353",32.741859,-117.090353,female,no,no,no,10,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,bank transfer (automatic),80.25,846.0,yes,1,85,3598,poor expertise of online support,357,73006,0
9057-mswco,1,united states,california,san diego,92108,"32.774046, -117.142454",32.774046,-117.142454,male,yes,yes,no,27,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,credit card (automatic),30.75,805.1,yes,1,91,2927,poor expertise of phone support,360,11650,0
1010-diauq,1,united states,california,san diego,92116,"32.765299, -117.122565",32.765299,-117.122565,male,no,no,no,5,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),96.5,492.55,yes,1,98,5383,price too high,367,33083,0
0259-gbzsh,1,united states,california,san diego,92122,"32.85723, -117.209774",32.85723,-117.209774,male,no,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.65,181.5,yes,1,73,3878,product dissatisfaction,373,34902,0
9601-brxpo,1,united states,california,san diego,92129,"32.961064, -117.134917",32.961064,-117.134917,female,no,yes,no,25,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),104.95,2566.5,yes,1,66,3642,service dissatisfaction,379,47224,0
6905-niqin,1,united states,california,san diego,92154,"32.578103, -117.012975",32.578103,-117.012975,male,no,no,no,1,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,50.65,50.65,yes,1,76,2431,don't know,383,68776,1
5167-zffmm,1,united states,california,indio,92201,"33.713891, -116.237257",33.713891,-116.237257,male,no,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,yes,credit card (automatic),90.85,90.85,yes,1,81,3424,network reliability,385,56307,1
4895-tmwir,1,united states,california,indian wells,92210,"33.537646, -116.291089",33.537646,-116.291089,male,yes,yes,no,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.95,214.75,yes,1,80,5888,limited range of services,387,3873,0
0533-bnwkf,1,united states,california,palm desert,92211,"33.762759, -116.324817",33.762759,-116.324817,female,yes,yes,no,55,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,electronic check,85.45,4874.7,yes,1,100,5502,lack of affordable download/upload speed,388,19702,0
6599-cebnn,1,united states,california,desert hot springs,92240,"33.948558, -116.516976",33.948558,-116.516976,female,no,no,no,34,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),73.95,2524.45,yes,1,94,5795,long distance charges,399,22796,0
0979-phulv,1,united states,california,holtville,92250,"32.811001, -115.152865",32.811001,-115.152865,male,no,yes,no,69,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),99.45,7007.6,yes,1,80,4020,extra data charges,404,8062,0
4800-vhzki,1,united states,california,niland,92257,"33.345825, -115.596574",33.345825,-115.596574,female,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.9,19.9,yes,1,92,3351,price too high,410,2753,1
7989-chgtl,1,united states,california,north palm springs,92258,"33.906496, -116.569499",33.906496,-116.569499,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,19.6,19.6,yes,1,95,3448,product dissatisfaction,411,732,1
